CultureCodeA,WordInCultureA,CultureCodeB,WordInCultureB,Mnemonic,
nl-NL,aanbrengen,pl-PL,zastosuj,zat zo goei,
nl-NL,aanleggen,pl-PL,skonstruować,,
nl-NL,aansluiting,pl-PL,połączenie,,
nl-NL,achter,pl-PL,za,,
nl-NL,achterdeur,pl-PL,tylne drzwi,der na,
nl-NL,afplak,pl-PL,maskowanie,masking,
nl-NL,afzuigkap,pl-PL,kaptur wyciągowy,kap we cian zuigen / kap voor als je aan 't koken,
nl-NL,alle,pl-PL,wszystko,juste…,
nl-NL,bad,pl-PL,kąpiel,co piel,
nl-NL,badkamer,pl-PL,łazienka,wassenkamer,
nl-NL,badkraan,pl-PL,kran w wannie,,
nl-NL,balk,pl-PL,belka,-,
nl-NL,balkon,pl-PL,balkon,-,
nl-NL,band,pl-PL,taśma,tape / tasje maken,
nl-NL,beetje,pl-PL,mało,mouwen. Ik heb meestal korte mouwen. Kort ~= beetje.,
nl-NL,benedenverdieping,pl-PL,parter,,
nl-NL,binnen,pl-PL,wewnątrz,blijf nou onder ons,
nl-NL,binnenkomst,pl-PL,wejście,~welkom je,
nl-NL,blijft,pl-PL,pozostaje,blijft in positie,
nl-NL,boven,pl-PL,powyżej,boven jij,
nl-NL,bovenverdieping,pl-PL,na górze,naar boven / engorge / 'er bovenop',
nl-NL,buiten,pl-PL,na zewnątrz,"na zevenen noch, is het licht buiten",
nl-NL,compleet,pl-PL,kompletny,-,
nl-NL,dak,pl-PL,dach,-,
nl-NL,demonteren,pl-PL,rozmontować,"eraf halen, rotzooi mont…",
nl-NL,deur,pl-PL,drzwi,-,
nl-NL,deurklink,pl-PL,klamka,klink,
nl-NL,dichtbij,pl-PL,blisko,-,
nl-NL,dichtmaken,pl-PL,zamknąć,samen kneden,
nl-NL,die,pl-PL,to,-,
nl-NL,dim,pl-PL,przyciemnić,je zie niets / schijnt niets,
nl-NL,dop,pl-PL,czapka,capcha/kapje,
nl-NL,douche,pl-PL,prysznic,proest nies,
nl-NL,folie,pl-PL,folia,-,
nl-NL,gat,pl-PL,dziura,-,
nl-NL,gevel,pl-PL,fasada,-,
nl-NL,glas,pl-PL,szkło,inschenken / squash (you can't squash glass),
nl-NL,grote,pl-PL,duży,duzend,
nl-NL,hal,pl-PL,sala,,
nl-NL,halogeen,pl-PL,halogen,-,
nl-NL,hang,pl-PL,powiesić,boven ziet,
nl-NL,hout,pl-PL,drewno,drijft niet (tochwel),
nl-NL,houtwerk,pl-PL,stolarka,stol = planten stolden in de evolutie toen het bomen werden,
nl-NL,huis,pl-PL,dom,-,
nl-NL,huiskamer,pl-PL,pokój dzienny,-,
nl-NL,ingebouwd,pl-PL,wbudowana,"budo ~= bouw, 'ingebouwde'",
nl-NL,inkorten,pl-PL,skrócić,skortig,
nl-NL,installatie,pl-PL,instalacja,-,
nl-NL,kamer,pl-PL,pokój,,
nl-NL,kapot,pl-PL,zepsuty,,
nl-NL,kast,pl-PL,szafa,,
nl-NL,kelder,pl-PL,piwnica,liever niet daar,
nl-NL,keuken,pl-PL,kuchnia,,
nl-NL,keukenblad,pl-PL,licznik kuchenny,,
nl-NL,klemmen,pl-PL,zaciski,"zat is key / hij is de sleutel zat, hij klemt nu altijd",
nl-NL,klep,pl-PL,zawór,daarvoor / klep ervoor,
nl-NL,knop,pl-PL,przycisk,sliesst / precies (instellen),
nl-NL,koelkast,pl-PL,lodówka,-,
nl-NL,koofjes,pl-PL,zatoczki,Ben het aanzicht 'zat',
nl-NL,kop,pl-PL,głowa,glowing face,
nl-NL,kopen,pl-PL,kup,-,
nl-NL,kraan,pl-PL,dotknij,water 'tot aan je knieen',
nl-NL,lager,pl-PL,niżej,niet jij (lager) (wel dus). Niezen.,
nl-NL,lamp,pl-PL,lampa,-,
nl-NL,lantaarns,pl-PL,latarnie,-,
nl-NL,LED,pl-PL,LED,-,
nl-NL,lek,pl-PL,przeciek,pssjjj check,
nl-NL,lekkage,pl-PL,wyciek,verchecken. Niet gecheckt (op gaten).,
nl-NL,licht,pl-PL,światło,het zat worden / zwart worden (niet),
nl-NL,lijst,pl-PL,lista,,
nl-NL,los,pl-PL,luźne,-,
nl-NL,magnetron,pl-PL,mikrofalówka,-,
nl-NL,maken,pl-PL,zrobić,hobbies,
nl-NL,matte,pl-PL,matowy,-,
nl-NL,metalen,pl-PL,metale,,
nl-NL,muur,pl-PL,ściana,staat daar,
nl-NL,naast,pl-PL,oprócz,approach,
nl-NL,niet,pl-PL,nie,,
nl-NL,nieuwe,pl-PL,nowy,,
nl-NL,omhoog,pl-PL,w górę,boven goor he?,
nl-NL,onder,pl-PL,pod,Pot onder plant,
nl-NL,onderkant,pl-PL,na dole,,
nl-NL,ontbreekt,pl-PL,brakuje,ontbrak,
nl-NL,op slot,pl-PL,zablokowany,,
nl-NL,opknappen,pl-PL,odmalować,ont-slechten…wac,
nl-NL,opnieuw,pl-PL,znowu,-,
nl-NL,overloop,pl-PL,przepełnienie,huppel niet niet,
nl-NL,overstek,pl-PL,przekraczać,het kraakt straks,
nl-NL,pijp,pl-PL,rura,,
nl-NL,plaat,pl-PL,płytka,plaat poetsen,
nl-NL,plafond,pl-PL,sufit,sou fit / fit under it,
nl-NL,plafondplaat,pl-PL,płyta sufitowa,-,
nl-NL,plamuren,pl-PL,wypełnij,repel,
nl-NL,plat,pl-PL,płaski,-,
nl-NL,plinten,pl-PL,cokoły,sok over,
nl-NL,poort,pl-PL,brama,hangen bramen bij,
nl-NL,poster,pl-PL,plakat,-,
nl-NL,projector,pl-PL,projektor,-,
nl-NL,raam,pl-PL,okno,kijk naar / zelfde aantal letters,
nl-NL,radiator,pl-PL,grzejnik,kozijn nek,
nl-NL,rechtbuigen,pl-PL,wyprostuj się,proper maken,
nl-NL,regen,pl-PL,deszcz,,
nl-NL,repareren,pl-PL,naprawa,,
nl-NL,restanten,pl-PL,resztki,-,
nl-NL,roet,pl-PL,sadza,ben het zat nou / zaad is ook granulair,
nl-NL,rolluik,pl-PL,roleta,-,
nl-NL,rond,pl-PL,około,veel ronde o's,
nl-NL,rot,pl-PL,zgnić,Het woord klinkt al rot.,
nl-NL,schakelaar,pl-PL,przełącznik,t zal aan schakelen,
nl-NL,scherm,pl-PL,ekran,tegenover het raam,
nl-NL,schoonmaken,pl-PL,czyszczenie,'tjustjenie' schoon schone,
nl-NL,schoorsteen,pl-PL,komin,kom in': de kerstman komt daar in naar binnen ,
nl-NL,schuur,pl-PL,stodoła,daar stoat wel wa / staat daar maar / stallen / stal er wat,
nl-NL,slaapkamer,pl-PL,sypialnia,sleep alle nacht,
nl-NL,sleutel,pl-PL,klucz,kluis,
nl-NL,slot,pl-PL,blokować,blocks something,
nl-NL,sluit,pl-PL,zamyka,ze aan mekaar,
nl-NL,staan,pl-PL,stać,-,
nl-NL,stopcontact,pl-PL,wylot,-,
nl-NL,strip,pl-PL,pasek,,
nl-NL,tegel,pl-PL,płytka,plaat,
nl-NL,telefoonaansluiting,pl-PL,połączenie telefoniczne,power aansluiting telefoon,
nl-NL,thermostaat,pl-PL,termostat,-,
nl-NL,toilet,pl-PL,toaleta,-,
nl-NL,tuin,pl-PL,ogród,o grond,
nl-NL,vaatwasser,pl-PL,zmywarka,is m'n varken,
nl-NL,van,pl-PL,z,,
nl-NL,vastzetten,pl-PL,napraw,,
nl-NL,vastzittende,pl-PL,utknął,,
nl-NL,ventilatie,pl-PL,wentylacja,-,
nl-NL,ventilator,pl-PL,wentylator,-,
nl-NL,verbeteren,pl-PL,poprawić,make proper,
nl-NL,verstevigen,pl-PL,wzmocnić,"mot niets / rotte balk moet niet verstevigd worden, maar vervangen",
nl-NL,vervangen,pl-PL,wymienić,vermengen niet (maar vervangen),
nl-NL,verven,pl-PL,farbowanie,,
